0	0
0.125	0.000734102
0.25	0.002894095
0.375	0.006385741
0.5	0.010581951
0.625	0.013369858
0.75	0.014231858
0.875	0.013190527
1	0.010317107
1.125	0.005735725
1.25	-0.000381521
1.375	-0.007820683
1.5	-0.015837905
1.625	-0.022209782
1.75	-0.026317549
1.875	-0.028094796
2	-0.027538327
2.125	-0.024714286
2.25	-0.019754598
2.375	-0.012851671
2.5	-0.004746689
2.625	0.002321068
2.75	0.007699274
2.875	0.011271649
3	0.012970642
3.125	0.012785763
3.25	0.010762569
3.375	0.007000125
3.5	0.002142212
3.625	-0.001670377
3.75	-0.003881951
3.875	-0.004468183
4	-0.003446171
4.125	-0.000880415
4.25	0.003120209
4.375	0.008406624
4.5	0.014299535
4.625	0.018637882
4.75	0.020861229
4.875	0.020955834
5	0.018964071
5.125	0.014989354
5.25	0.009191651
5.375	0.00178155
5.5	-0.006491773
5.625	-0.013391257
5.75	-0.018276728
5.875	-0.021053407
6	-0.021683767
6.125	-0.020194793
6.25	-0.016675697
6.375	-0.01127395
6.5	-0.004684963
6.625	0.00089722
6.75	0.004863653
6.875	0.007138318
7	0.007689692
7.125	0.006538101
7.25	0.0037539
7.375	-0.000545672
7.5	-0.00570568
7.625	-0.009581379
7.75	-0.011620293
7.875	-0.011808227
8	-0.010178881
